	MST107_MiFiU_tag45	MST107_MiFiU_tag46	MST109_MiFiU_tag47	MST109_MiFiU_tag48	MST110_MiFiU_tag49	MST110_MiFiU_tag50	MST221_MiFiU_tag51	MST221_MiFiU_tag52	MST235_MiFiU_tag53	MST235_MiFiU_tag54	NC_MiFiU_tag55	PCMock_MiFiU_tag56
seq200	0	0	0	0	284	0	0	0	0	0	0	0
seq201	0	0	0	0	0	0	0	0	0	0	0	277
seq202	61	125	22	51	0	0	0	14	0	0	0	0
seq203	0	0	0	0	0	0	0	0	271	0	0	0
seq204	0	0	0	0	0	0	0	0	180	88	0	0
seq205	0	0	0	0	265	0	0	0	0	0	0	0
seq206	182	0	0	0	0	0	79	0	0	0	0	0
seq207	23	0	0	0	0	0	0	0	238	0	0	0
seq208	0	0	182	0	0	0	78	0	0	0	0	0
seq209	0	0	21	0	0	0	237	0	0	0	0	0
seq210	129	0	76	0	52	0	0	0	0	0	0	0
seq211	16	0	25	56	27	0	74	10	48	0	0	0
seq212	15	0	0	0	0	0	0	0	240	0	0	0
seq213	0	0	0	0	17	0	0	0	207	11	0	0
seq214	0	0	0	0	0	0	0	0	0	0	0	235
seq215	0	0	123	69	25	0	10	0	0	0	0	0
seq216	0	0	0	10	0	0	103	0	113	0	0	0
seq217	9	0	146	0	49	0	17	0	0	0	0	0
seq218	0	0	152	66	0	0	0	0	0	0	0	0
seq219	0	0	0	0	159	0	58	0	0	0	0	0
seq220	0	0	0	0	0	0	0	0	215	0	0	0
seq221	0	0	31	0	32	0	103	0	49	0	0	0
seq222	0	0	0	54	0	0	35	0	83	42	0	0
seq223	0	0	0	0	0	0	0	0	0	211	0	0
seq224	0	0	0	0	0	0	0	0	109	101	0	0
seq225	0	0	0	0	0	0	208	0	0	0	0	0
seq226	25	0	0	0	0	13	66	0	103	0	0	0
seq227	0	0	0	0	0	0	0	0	176	30	0	0
seq228	62	107	0	0	35	0	0	0	0	0	0	0
seq229	0	0	148	0	0	0	55	0	0	0	0	0
seq230	0	0	9	0	193	0	0	0	0	0	0	0
seq231	83	119	0	0	0	0	0	0	0	0	0	0
seq232	0	0	0	34	151	16	0	0	0	0	0	0
seq233	0	0	0	0	0	0	0	0	201	0	0	0
seq234	0	0	0	0	8	0	191	0	0	0	0	0
seq235	0	0	91	0	76	0	30	0	0	0	0	0
seq236	0	0	186	0	0	0	0	0	0	0	0	0
seq237	0	0	71	22	19	0	0	0	0	70	0	0
seq238	0	0	17	139	25	0	0	0	0	0	0	0
seq239	0	0	9	0	4	0	15	0	42	111	0	0
seq240	0	0	64	0	116	0	0	0	0	0	0	0
seq241	0	0	56	0	123	0	0	0	0	0	0	0
seq242	0	0	67	0	0	0	0	0	110	0	0	0
seq243	24	0	56	0	96	0	0	0	0	0	0	0
seq244	14	0	26	0	135	0	0	0	0	0	0	0
seq245	0	0	0	0	0	0	0	0	174	0	0	0
seq246	0	0	91	0	0	0	82	0	0	0	0	0
seq247	0	0	0	4	0	0	40	0	128	0	0	0
seq248	0	0	172	0	0	0	0	0	0	0	0	0
seq249	0	0	10	0	0	0	39	0	122	0	0	0
seq250	136	0	0	0	0	0	34	0	0	0	0	0
seq251	0	0	0	170	0	0	0	0	0	0	0	0
seq252	0	0	0	0	0	0	0	0	0	0	0	168
seq253	0	0	0	0	0	0	0	0	58	109	0	0
seq254	0	0	0	0	0	0	0	0	121	44	0	0
seq255	0	0	0	0	0	0	0	0	0	164	0	0
seq256	0	0	0	163	0	0	0	0	0	0	0	0
seq257	0	0	14	132	16	0	0	0	0	0	0	0
seq258	0	0	0	0	0	0	0	0	113	48	0	0
seq259	0	71	32	29	14	0	15	0	0	0	0	0
seq260	0	0	0	0	161	0	0	0	0	0	0	0
seq261	0	3	46	6	0	0	0	0	55	48	0	0
seq262	0	0	0	0	0	0	0	0	157	0	0	0
seq263	0	0	0	0	157	0	0	0	0	0	0	0
seq264	0	0	94	0	21	0	42	0	0	0	0	0
seq265	0	0	0	0	156	0	0	0	0	0	0	0
seq266	0	0	156	0	0	0	0	0	0	0	0	0
seq267	0	0	28	0	0	0	0	0	127	0	0	0
seq268	0	0	9	0	0	0	9	0	17	119	0	0
seq269	0	0	0	0	0	0	0	0	28	126	0	0
seq270	0	0	0	0	132	19	0	0	0	0	0	0
seq271	8	77	37	28	0	0	0	0	0	0	0	0
seq272	0	0	0	0	13	0	0	0	135	0	0	0
seq273	0	0	0	0	18	0	0	0	129	0	0	0
seq274	0	0	0	0	0	0	0	0	146	0	0	0
seq275	0	0	0	0	145	0	0	0	0	0	0	0
seq276	0	0	0	144	0	0	0	0	0	0	0	0
seq277	142	0	0	0	0	0	0	0	0	0	0	0
seq278	0	0	0	0	0	0	0	0	0	0	0	142
seq279	0	90	0	0	0	0	0	0	52	0	0	0
seq280	123	0	0	0	18	0	0	0	0	0	0	0
seq281	0	0	0	0	0	0	0	0	141	0	0	0
seq282	0	0	0	0	135	0	0	0	0	5	0	0
seq283	0	0	0	39	12	0	0	0	12	77	0	0
seq284	0	0	0	0	0	0	0	0	0	138	0	0
seq285	0	0	13	0	17	0	0	0	96	12	0	0
seq286	0	0	0	0	0	0	0	0	138	0	0	0
seq287	0	0	30	83	0	0	24	0	0	0	0	0
seq288	31	72	0	32	0	0	0	0	0	0	0	0
seq289	0	0	0	135	0	0	0	0	0	0	0	0
seq290	84	0	0	50	0	0	0	0	0	0	0	0
seq291	49	0	0	0	85	0	0	0	0	0	0	0
seq292	0	0	0	0	0	0	0	0	133	0	0	0
seq293	0	0	132	0	0	0	0	0	0	0	0	0
seq294	37	14	13	0	40	0	28	0	0	0	0	0
seq295	0	0	132	0	0	0	0	0	0	0	0	0
seq296	0	6	0	0	0	0	123	0	0	0	0	0
seq297	0	0	0	0	128	0	0	0	0	0	0	0
